KeyOrValue,Hex,Type,FilePaths
Key,0x14cbc05bc9,float,/param/in_game/result_parameter.prc
Key,0x1b5a3b93cf,uint,/param/in_game/result_parameter.prc
Key,0x1c1e737c0a,list,/param/in_game/result_parameter.prc
Key,0x15e1165ff0,uint,/param/in_game/result_parameter.prc
Key,0x1d8af15aa5,uint,/param/in_game/result_parameter.prc
Key,0x1b7f06a6d7,uint,/param/in_game/result_parameter.prc
Key,0x1cac4a9d26,float,/param/in_game/result_parameter.prc
Key,0x21524683db,float,/param/in_game/result_parameter.prc
Key,0x166e4364bd,uint,/param/in_game/result_parameter.prc
Key,0x25d43517f2,uint,/param/in_game/result_parameter.prc
Key,0x1ea2c33877,list,/param/in_game/result_parameter.prc
Key,0x2744cb9436,list,/param/in_game/result_parameter.prc
Key,0x189e8c92a9,list,/param/in_game/sham_battle_cp_parameter.prc
Key,0x213a2251f9,list,/param/in_game/sham_battle_cp_parameter.prc
Key,0x1763b20b88,byte,/param/in_game/sham_battle_cp_parameter.prc
Key,0x17280266c6,byte,/param/in_game/sham_battle_cp_parameter.prc
Key,0x21b17caaba,list,/param/in_game/sham_battle_cp_parameter.prc
Key,0x23a56003d5,list,/param/in_game/sham_battle_cp_parameter.prc
Key,0x238d16018f,list,/param/in_game/sham_battle_cp_parameter.prc
Key,0x237c2dbd83,list,/param/in_game/sham_battle_cp_parameter.prc
Key,0x253142c5bb,list,/param/in_game/sham_battle_cp_parameter.prc
Key,0x19d4dae26d,float,/param/in_game/staff_roll_parameter.prc
Key,0x15ba2e8e72,int,/param/in_game/staff_roll_parameter.prc
Key,0x15ca494aae,int,/param/in_game/staff_roll_parameter.prc
Key,0x1d1bd0c605,float,/param/in_game/staff_roll_parameter.prc
Key,0x16e50e21bf,float,/param/in_game/staff_roll_parameter.prc
Key,0x12e44b4678,float,/param/in_game/staff_roll_parameter.prc
Key,0x159639258b,float,/param/in_game/staff_roll_parameter.prc
Key,0x1818688a07,uint,/param/in_game/team_result_parameter.prc
Key,0x17a15c6271,float,/param/sound/stage_sound_settings.prc
Key,0x117db589bd,list,/param/spirits/spirits_battle_event.prc
Key,0x18bde21b22,list,/param/spirits/spirits_battle_event.prc
Key,0x148d5d8994,uint,/param/spirits/spirits_common.prc
Key,0x128ecb3146,float,/param/spirits/spirits_common.prc
Key,0x12babf326e,float,/param/spirits/spirits_common.prc
Key,0x1c8fa8af77,float,/param/spirits/spirits_common.prc
Key,0x1a1fc6f970,float,/param/spirits/spirits_common.prc
Key,0x104ef6777f,float,/param/spirits/spirits_common.prc
Key,0x107a827457,float,/param/spirits/spirits_common.prc
Key,0x1c0d0192fd,float,/param/spirits/spirits_common.prc
Key,0x1a071ed1d1,float,/param/spirits/spirits_common.prc
Key,0x1019f7e6fb,float,/param/spirits/spirits_common.prc
Key,0x102d83e5d3,float,/param/spirits/spirits_common.prc
Key,0x1ebc11ffdc,byte,/param/spirits/spirits_common.prc
Key,0x1eb1dd93f0,byte,/param/spirits/spirits_common.prc
Key,0x18095b400d,byte,/param/spirits/spirits_common.prc
Key,0x18905211b7,byte,/param/spirits/spirits_common.prc
Key,0x158c079648,byte,/param/spirits/spirits_common.prc
Key,0x1eb32f069b,list,/param/spirits/spirits_common.prc
Key,0x196ef70b63,byte,/param/spirits/spirits_common.prc
Key,0x1952fa343a,byte,/param/spirits/spirits_common.prc
Key,0x11ba746e10,byte,/param/spirits/spirits_common.prc
Key,0x1054ca8ad0,byte,/param/spirits/spirits_common.prc
Key,0x1088b26483,byte,/param/spirits/spirits_common.prc
Key,0x230fff9dda,byte,/param/spirits/spirits_common.prc
Key,0x1a0c746bb5,byte,/param/spirits/spirits_common.prc
Key,0x1b9c7940a9,byte,/param/spirits/spirits_common.prc
Key,0x1a6612ead3,byte,/param/spirits/spirits_common.prc
Key,0x1b4fa21903,float,/param/spirits/spirits_common.prc
Key,0x1d661b6fa9,float,/param/spirits/spirits_common.prc
Key,0x1f50f0090e,float,/param/spirits/spirits_common.prc
Key,0x1674f566f8,list,/param/spirits/spirits_common.prc
Key,0x16874c17b0,list,/param/spirits/spirits_common.prc
Key,0x21958c889a,uint,/param/spirits/spirits_common.prc
Key,0x1b2a4c97f4,uint,/param/spirits/spirits_common.prc
Key,0x1fcdbfcbfa,bool,/param/spirits/spirits_common.prc
Key,0x1b51a14e8c,hash40,/param/spirits/spirits_common.prc
Key,0x1d1a7a517d,float,/param/spirits/spirits_common.prc
Key,0x25e77d4c3e,uint,/param/spirits/spirits_common.prc
Key,0x1d22dbf1e3,uint,/param/spirits/spirits_common.prc
Key,0x1d6fd46872,float,/param/spirits/spirits_common.prc
Key,0x199f95b50e,float,/param/spirits/spirits_common.prc
Key,0x1a023ec1cd,uint,/param/spirits/spirits_common.prc
Key,0x1776abac12,byte,/param/spirits/spirits_common.prc
Key,0x17afea1599,byte,/param/spirits/spirits_common.prc
Key,0x1c0692b3e2,byte,/param/spirits/spirits_common.prc
Key,0x1c6f266609,byte,/param/spirits/spirits_common.prc
Key,0x177a83dc99,list,/param/spirits/spirits_common.prc
Key,0x1a5db6de5b,list,/param/spirits/spirits_common.prc
Key,0x1bf6c889e4,list,/param/spirits/spirits_common.prc
Key,0x1a461cd543,uint,/param/spirits/spirits_common.prc
Key,0x164067ef5c,float,/param/spirits/spirits_common.prc
Key,0x1653a8aa5d,uint,/param/spirits/spirits_common.prc
Key,0x1eebc40e29,uint,/param/spirits/spirits_common.prc
Key,0x1f9f5e5996,uint,/param/spirits/spirits_common.prc
Key,0x1a9d47d580,float,/param/spirits/spirits_common.prc
Key,0x1b0ecee171,list,/param/spirits/spirits_common.prc
Key,0x1def7b9c90,uint,/param/spirits/spirits_facility_param.prc
Key,0x1d86d38b22,uint,/param/spirits/spirits_facility_param.prc
Key,0x2005bb1f73,uint,/param/spirits/spirits_facility_param.prc
Key,0x2004b785c7,uint,/param/spirits/spirits_facility_param.prc
Key,0x247c7b4fce,uint,/param/spirits/spirits_facility_param.prc
Key,0x247d77d57a,uint,/param/spirits/spirits_facility_param.prc
Key,0x1f26dbbd56,uint,/param/spirits/spirits_facility_param.prc
Key,0x1f27d727e2,uint,/param/spirits/spirits_facility_param.prc
Key,0x21a072293f,uint,/param/spirits/spirits_facility_param.prc
Key,0x1965ae6920,float,/param/spirits/spirits_facility_param.prc
Key,0x185d2a2350,float,/param/spirits/spirits_facility_param.prc
Key,0x132e892f58,float,/param/spirits/spirits_facility_param.prc
Key,0x1b72784c75,list,/param/spirits/spirits_facility_param.prc
Key,0x1cafc6fbdd,float,/param/spirits/spirits_facility_param.prc
Key,0x1648ce6d11,float,/param/spirits/spirits_facility_param.prc
Key,0x20ac3521ae,float,/param/spirits/spirits_facility_param.prc
Key,0x1e85573b26,float,/param/spirits/spirits_facility_param.prc
Key,0x2795876742,float,/param/spirits/spirits_facility_param.prc
Key,0x25b2fb26b3,float,/param/spirits/spirits_facility_param.prc
Key,0x15fa79f0b4,int,/param/spirits/spirits_facility_param.prc
Key,0x136affcd51,int,/param/spirits/spirits_facility_param.prc
Key,0x151f1fcf9d,float,/param/spirits/spirits_facility_param.prc
Key,0x13894b6199,hash40,/param/spirits/spirits_facility_param.prc | /ui/param/database/ui_spirits_style_db.prc
Key,0x191a632c96,float,/param/spirits/spirits_facility_param.prc | /ui/param/database/ui_spirits_style_db.prc
Key,0x1dd14eeb5e,uint,/param/spirits/spirits_facility_param.prc
Key,0x2558ffac6f,uint,/param/spirits/spirits_facility_param.prc
Key,0x15f5676380,uint,/param/spirits/spirits_facility_param.prc
Key,0x290831aec8,list,/param/spirits/spirits_facility_param.prc
Key,0x1cf7ceda87,list,/param/spirits/spirits_facility_param.prc
Key,0x1d39297b55,list,/param/spirits/spirits_facility_param.prc
Key,0x216cb011e8,list,/param/spirits/spirits_facility_param.prc
Key,0x1c01dbc8e7,uint,/param/spirits/spirits_facility_param.prc
Key,0x1b6588d1e9,float,/param/spirits/spirits_recommend_param.prc
Key,0x1a1ad37647,float,/param/spirits/spirits_recommend_param.prc
Key,0x2240d5b4bb,int,/param/spirits/spirits_recommend_param.prc
Key,0x1b1acf7af2,float,/param/spirits/spirits_recommend_param.prc
Key,0x198600eab7,int,/param/spirits/spirits_recommend_param.prc
Key,0x1d0783914f,uint,/param/spirits/spirits_recommend_param.prc
Key,0x1f336a7c78,uint,/param/spirits/spirits_recommend_param.prc
Key,0x20a9f7e036,uint,/param/spirits/spirits_recommend_param.prc
Key,0x1a5e028679,list,/param/spirits/spirits_recommend_param.prc
Key,0x2233e8765b,float,/assist/akira/param/param.prc
Key,0x236e9b6dbc,int,/assist/akira/param/param.prc
Key,0x19313cdfcf,float,/assist/akira/param/param.prc
Key,0x2d408d1e0e,float,/assist/akira/param/param.prc
Key,0x2d378a2e98,float,/assist/akira/param/param.prc
Key,0x38b9f60612,float,/assist/akira/param/param.prc
Key,0x24e5907ae6,float,/assist/akira/param/param.prc
Key,0x1eb9c45fe9,int,/assist/akira/param/param.prc
Key,0x3a7b68bc95,int,/assist/akira/param/param.prc
Key,0x2279fda66e,int,/assist/akira/param/param.prc
Key,0x2daf68f2e3,float,/assist/akira/param/param.prc
Key,0x30c645e3b2,float,/assist/akira/param/param.prc
Key,0x2661b42244,float,/assist/akira/param/param.prc
Key,0x269c673f0a,float,/assist/akira/param/param.prc
Key,0x2a1e755b2f,float,/assist/akira/param/param.prc
Key,0x2ac99ee96e,float,/assist/akira/param/param.prc
Key,0x265e4bbe84,float,/assist/akira/param/param.prc
Key,0x26624681dd,float,/assist/akira/param/param.prc
Key,0x271c91a31b,float,/assist/akira/param/param.prc
Key,0x27209c9c42,float,/assist/akira/param/param.prc
Key,0x1cc91db2a2,float,/assist/akira/param/param.prc
Key,0x2616935e1a,float,/assist/akira/param/param.prc
Key,0x231724bcce,int,/assist/alucard/param/param.prc
Key,0x1e5fe58d2e,float,/assist/alucard/param/param.prc
Key,0x295a62461e,int,/assist/alucard/param/param.prc
Key,0x23f0c9cf6c,float,/assist/alucard/param/param.prc
Key,0x2a8f2044de,float,/assist/alucard/param/param.prc
Key,0x253cbf030d,float,/assist/alucard/param/param.prc
Key,0x322b3d6d75,int,/assist/alucard/param/param.prc
Key,0x2b8ad78602,float,/assist/alucard/param/param.prc
Key,0x28c3dc9a52,int,/assist/alucard/param/param.prc
Key,0x253c5bc795,int,/assist/alucard/param/param.prc
Key,0x250056f8cc,int,/assist/alucard/param/param.prc
Key,0x193b760b6f,list,/assist/alucard/param/param.prc
Key,0x21df98b562,float,/assist/androssshot/param/param.prc
Key,0x28f67c11dc,float,/assist/ashley/param/param.prc
Key,0x1bdd2aaecf,float,/assist/ashley/param/param.prc
Key,0x19c608addb,int,/assist/ashley/param/param.prc
Key,0x2aec43e17b,float,/assist/ashley/param/param.prc
Key,0x28bc06cce3,float,/assist/ashley/param/param.prc
Key,0x33f5fe5323,float,/assist/ashley/param/param.prc
Key,0x21b038d53a,float,/assist/ashley/param/param.prc
Key,0x22dc695f6a,float,/assist/ashley/param/param.prc
Key,0x16b3175dbf,float,/assist/ashley/param/param.prc
Key,0x19876b1219,float,/assist/ashley/param/param.prc
Key,0x19b1198af6,float,/assist/ashley/param/param.prc
Key,0x21e82f6c6a,float,/assist/ashley/param/param.prc
Key,0x27a9e262d3,float,/assist/ashley/param/param.prc
Key,0x270ab4e47a,float,/assist/ashley/param/param.prc
Key,0x279768ef69,float,/assist/ashley/param/param.prc
Key,0x27408a6f31,float,/assist/ashley/param/param.prc
Key,0x27e3dce998,float,/assist/ashley/param/param.prc
Key,0x1efe78c555,int,/assist/ashley/param/param.prc
Key,0x226efd376e,int,/assist/ashley/param/param.prc
Key,0x2252f00837,int,/assist/ashley/param/param.prc
Key,0x263eec2f8e,float,/assist/baitocrane/param/param.prc
Key,0x25f0fb49b7,float,/assist/baitocrane/param/param.prc
Key,0x2950e67a93,float,/assist/baitocrane/param/param.prc
Key,0x1b0c02eb54,int,/assist/bomberman/param/param.prc
Key,0x1c321a5515,int,/assist/bomberman/param/param.prc
Key,0x21db8800ef,int,/assist/bomberman/param/param.prc
Key,0x1d90f40418,float,/assist/bomberman/param/param.prc
Key,0x1dd7547ec8,float,/assist/bomberman/param/param.prc
Key,0x1dea345778,float,/assist/bomberman/param/param.prc
Key,0x2508956fce,float,/assist/bomberman/param/param.prc
Key,0x19c0e5fb84,int,/assist/bomberman/param/param.prc
Key,0x23452b3d93,int,/assist/bomberman/param/param.prc
